feature,predicted_rank
transformer.wte,1
transformer.h.23.mlp.c_proj,71
transformer.h.22.mlp.c_proj,64
transformer.h.0.attn.c_attn,311
transformer.h.21.mlp.c_proj,59
transformer.h.20.mlp.c_proj,55
transformer.h.19.mlp.c_proj,52
transformer.h.18.mlp.c_proj,49
transformer.h.17.mlp.c_proj,47
transformer.h.16.mlp.c_proj,45
transformer.h.15.mlp.c_proj,44
transformer.h.3.mlp.c_fc,42
transformer.h.4.mlp.c_fc,44
transformer.h.23.mlp.c_fc,45
transformer.h.5.mlp.c_fc,42
transformer.h.2.mlp.c_fc,41
transformer.h.6.mlp.c_fc,38
transformer.h.22.mlp.c_fc,38
transformer.h.1.mlp.c_fc,43
transformer.h.7.mlp.c_fc,38
transformer.h.21.mlp.c_fc,38
transformer.h.8.mlp.c_fc,38
transformer.h.20.mlp.c_fc,38
transformer.h.4.attn.c_attn,224
transformer.h.19.mlp.c_fc,38
transformer.h.14.mlp.c_proj,38
transformer.h.18.mlp.c_fc,38
transformer.h.3.attn.c_attn,204
transformer.h.17.mlp.c_fc,38
transformer.h.9.mlp.c_fc,38
transformer.h.16.mlp.c_fc,38
transformer.h.11.mlp.c_fc,38
transformer.h.15.mlp.c_fc,38
transformer.h.13.mlp.c_fc,38
transformer.h.14.mlp.c_fc,38
transformer.h.10.mlp.c_fc,38
transformer.h.12.mlp.c_fc,40
transformer.h.5.attn.c_attn,219
transformer.h.0.mlp.c_fc,40
transformer.h.13.mlp.c_proj,40
transformer.h.2.attn.c_attn,212
transformer.h.12.mlp.c_proj,39
transformer.h.6.attn.c_attn,205
transformer.h.11.mlp.c_proj,38
transformer.h.13.attn.c_attn,201
transformer.h.8.attn.c_attn,201
transformer.h.10.attn.c_attn,200
transformer.h.23.attn.c_attn,200
transformer.h.7.attn.c_attn,199
transformer.h.12.attn.c_attn,198
transformer.h.10.mlp.c_proj,38
transformer.h.22.attn.c_attn,112
transformer.h.21.attn.c_attn,99
transformer.h.18.attn.c_attn,173
transformer.h.16.attn.c_attn,127
transformer.h.9.attn.c_attn,147
transformer.h.14.attn.c_attn,89
transformer.h.17.attn.c_attn,196
transformer.h.20.attn.c_attn,196
transformer.h.19.attn.c_attn,195
transformer.h.11.attn.c_attn,195
transformer.h.15.attn.c_attn,194
transformer.h.9.mlp.c_proj,38
transformer.h.7.mlp.c_proj,38
transformer.h.1.attn.c_attn,187
transformer.h.4.mlp.c_proj,38
transformer.h.3.mlp.c_proj,38
transformer.h.5.mlp.c_proj,38
transformer.h.6.mlp.c_proj,38
transformer.h.8.mlp.c_proj,38
transformer.h.0.mlp.c_proj,38
transformer.h.2.mlp.c_proj,39
transformer.h.1.mlp.c_proj,39
transformer.h.23.attn.c_proj,152
transformer.h.22.attn.c_proj,139
transformer.h.21.attn.c_proj,129
transformer.h.20.attn.c_proj,123
transformer.h.19.attn.c_proj,120
transformer.h.18.attn.c_proj,113
transformer.h.17.attn.c_proj,110
transformer.h.16.attn.c_proj,108
transformer.h.15.attn.c_proj,104
transformer.h.9.attn.c_proj,102
transformer.h.11.attn.c_proj,102
transformer.h.10.attn.c_proj,102
transformer.h.12.attn.c_proj,101
transformer.h.14.attn.c_proj,100
transformer.h.13.attn.c_proj,99
transformer.h.1.attn.c_proj,96
transformer.h.8.attn.c_proj,96
transformer.h.7.attn.c_proj,91
transformer.h.6.attn.c_proj,88
transformer.h.5.attn.c_proj,82
transformer.h.2.attn.c_proj,75
transformer.h.4.attn.c_proj,75
transformer.h.3.attn.c_proj,73
transformer.ln_f,0
transformer.h.0.attn.c_proj,45
transformer.wpe,0
transformer.h.23.ln_1,0
transformer.h.23.ln_2,0
transformer.h.22.ln_1,0
transformer.h.9.ln_1,0
transformer.h.22.ln_2,0
transformer.h.6.ln_1,0
transformer.h.21.ln_1,0
transformer.h.7.ln_1,0
transformer.h.4.ln_2,0
transformer.h.3.ln_2,0
transformer.h.10.ln_1,0
transformer.h.11.ln_1,0
transformer.h.12.ln_1,0
transformer.h.20.ln_1,0
transformer.h.5.ln_2,0
transformer.h.8.ln_1,0
transformer.h.6.ln_2,0
transformer.h.7.ln_2,0
transformer.h.5.ln_1,0
transformer.h.21.ln_2,0
transformer.h.19.ln_1,0
transformer.h.0.attn.c_attn.bias,15
transformer.h.14.ln_1,0
transformer.h.4.ln_1,1
transformer.h.18.ln_1,1
transformer.h.9.ln_2,1
transformer.h.15.ln_1,1
transformer.h.13.ln_1,1
transformer.h.16.ln_1,1
transformer.h.20.ln_2,1
transformer.h.17.ln_1,1
transformer.h.2.ln_2,1
transformer.h.8.ln_2,1
transformer.h.10.ln_2,1
transformer.h.19.ln_2,1
transformer.h.11.ln_2,1
transformer.h.18.ln_2,1
transformer.h.1.ln_2,1
transformer.h.12.ln_2,1
transformer.h.17.ln_2,1
transformer.ln_f.bias,1
transformer.h.13.ln_2,1
transformer.h.16.ln_2,1
transformer.h.14.ln_2,1
transformer.h.15.ln_2,1
transformer.h.1.ln_1,1
transformer.h.3.ln_1,1
transformer.h.2.ln_1,1
transformer.h.1.attn.c_attn.bias,7
transformer.h.0.mlp.c_fc.bias,4
transformer.h.21.attn.c_proj.bias,7
transformer.h.2.attn.c_attn.bias,7
transformer.h.0.ln_2,1
transformer.h.22.attn.c_proj.bias,6
transformer.h.5.attn.c_attn.bias,6
transformer.h.4.attn.c_attn.bias,6
transformer.h.3.mlp.c_fc.bias,4
transformer.h.20.attn.c_proj.bias,6
transformer.h.13.attn.c_attn.bias,6
transformer.h.21.mlp.c_proj.bias,4
transformer.h.14.attn.c_attn.bias,6
transformer.h.22.mlp.c_proj.bias,4
transformer.h.19.mlp.c_proj.bias,3
transformer.h.3.attn.c_attn.bias,5
transformer.h.4.mlp.c_fc.bias,3
transformer.h.12.attn.c_attn.bias,5
transformer.h.5.mlp.c_fc.bias,3
transformer.h.2.mlp.c_fc.bias,3
transformer.h.19.mlp.c_fc.bias,3
transformer.h.20.mlp.c_fc.bias,3
transformer.h.18.mlp.c_fc.bias,3
transformer.h.7.mlp.c_fc.bias,3
transformer.h.17.mlp.c_fc.bias,3
transformer.h.18.attn.c_attn.bias,5
transformer.h.21.mlp.c_fc.bias,3
transformer.h.16.mlp.c_fc.bias,3
transformer.h.1.mlp.c_fc.bias,3
transformer.h.10.mlp.c_fc.bias,3
transformer.h.15.mlp.c_fc.bias,3
transformer.h.6.mlp.c_fc.bias,3
transformer.h.10.attn.c_attn.bias,5
transformer.h.12.mlp.c_fc.bias,3
transformer.h.11.mlp.c_fc.bias,3
transformer.h.19.attn.c_proj.bias,5
transformer.h.17.mlp.c_proj.bias,3
transformer.h.13.mlp.c_fc.bias,3
transformer.h.16.attn.c_attn.bias,5
transformer.h.20.attn.c_attn.bias,5
transformer.h.14.mlp.c_fc.bias,3
transformer.h.9.mlp.c_fc.bias,3
transformer.h.19.attn.c_attn.bias,5
transformer.h.23.mlp.c_fc.bias,3
transformer.h.11.attn.c_attn.bias,5
transformer.h.22.mlp.c_fc.bias,3
transformer.h.8.mlp.c_fc.bias,3
transformer.h.18.attn.c_proj.bias,5
transformer.h.15.attn.c_attn.bias,5
transformer.h.17.attn.c_attn.bias,5
transformer.h.8.attn.c_attn.bias,5
transformer.h.18.mlp.c_proj.bias,3
transformer.h.21.attn.c_attn.bias,4
transformer.h.17.attn.c_proj.bias,4
transformer.h.6.mlp.c_proj.bias,3
transformer.h.0.mlp.c_proj.bias,3
transformer.h.16.attn.c_proj.bias,4
transformer.h.5.mlp.c_proj.bias,3
transformer.h.23.attn.c_proj.bias,4
transformer.h.22.attn.c_attn.bias,4
transformer.h.15.mlp.c_proj.bias,3
transformer.h.20.mlp.c_proj.bias,3
transformer.h.7.attn.c_attn.bias,4
transformer.h.9.attn.c_attn.bias,4
transformer.h.6.attn.c_attn.bias,4
transformer.h.1.attn.c_proj.bias,4
transformer.h.4.mlp.c_proj.bias,3
transformer.h.8.mlp.c_proj.bias,3
transformer.h.23.attn.c_attn.bias,4
transformer.h.3.attn.c_proj.bias,3
transformer.h.3.mlp.c_proj.bias,2
transformer.h.15.attn.c_proj.bias,3
transformer.h.2.attn.c_proj.bias,3
transformer.h.9.attn.c_proj.bias,3
transformer.h.2.mlp.c_proj.bias,2
transformer.h.14.mlp.c_proj.bias,2
transformer.h.12.attn.c_proj.bias,3
transformer.h.14.attn.c_proj.bias,3
transformer.h.12.mlp.c_proj.bias,2
transformer.h.13.mlp.c_proj.bias,2
transformer.h.8.attn.c_proj.bias,3
transformer.h.11.mlp.c_proj.bias,2
transformer.h.13.attn.c_proj.bias,3
transformer.h.7.mlp.c_proj.bias,2
transformer.h.16.mlp.c_proj.bias,2
transformer.h.10.mlp.c_proj.bias,2
transformer.h.1.mlp.c_proj.bias,2
transformer.h.5.attn.c_proj.bias,3
transformer.h.9.mlp.c_proj.bias,2
transformer.h.6.attn.c_proj.bias,3
transformer.h.4.attn.c_proj.bias,3
transformer.h.7.attn.c_proj.bias,3
transformer.h.0.ln_2.bias,1
transformer.h.11.attn.c_proj.bias,2
transformer.h.10.attn.c_proj.bias,2
transformer.h.23.mlp.c_proj.bias,2
transformer.h.23.ln_1.bias,1
transformer.h.15.ln_1.bias,1
transformer.h.11.ln_1.bias,1
transformer.h.21.ln_1.bias,1
transformer.h.23.ln_2.bias,1
transformer.h.14.ln_1.bias,1
transformer.h.20.ln_1.bias,1
transformer.h.16.ln_1.bias,1
transformer.h.4.ln_1.bias,1
transformer.h.18.ln_1.bias,1
transformer.h.8.ln_1.bias,1
transformer.h.17.ln_1.bias,1
transformer.h.19.ln_1.bias,1
transformer.h.0.ln_1,1
transformer.h.13.ln_1.bias,1
transformer.h.5.ln_1.bias,1
transformer.h.12.ln_1.bias,1
transformer.h.7.ln_1.bias,1
transformer.h.1.ln_1.bias,1
transformer.h.10.ln_1.bias,1
transformer.h.9.ln_1.bias,1
transformer.h.22.ln_1.bias,1
transformer.h.12.ln_2.bias,1
transformer.h.14.ln_2.bias,1
transformer.h.6.ln_1.bias,1
transformer.h.15.ln_2.bias,1
