module_name,gradient_norm
Conv1D_123464715986048,0.11148506515519702
Conv1D_123464712720400,0.09958240945970205
Conv1D_123464718547808,0.08673653213938108
Conv1D_123464717154208,0.0859253273635554
Conv1D_123464716275440,0.07972466900682647
Conv1D_123464712731488,0.07875280233294565
Conv1D_123464712731440,0.07147354091451451
Conv1D_123464712728416,0.07008724074281063
Conv1D_123464712717712,0.07008318792814976
Conv1D_123464712729856,0.06839249729491646
Conv1D_123464716140464,0.06757715150731129
Conv1D_123464716684416,0.0655323547215915
Conv1D_123464712726880,0.06552997583905693
Conv1D_123465964311312,0.06520610224493885
Conv1D_123464712729136,0.06358750249902918
Conv1D_123464716547760,0.06257924558802362
Conv1D_123464712731872,0.062283725320460954
Conv1D_123464712730192,0.05918081375603995
Conv1D_123464712725680,0.0584496004240079
Conv1D_123464712728752,0.05812460699172574
Conv1D_123464712729472,0.057207453101925834
Conv1D_123464717854256,0.05699481936516051
Conv1D_123464712728128,0.05689590665311661
Conv1D_123464712727360,0.05655455523413808
Conv1D_123464712726592,0.023455851178231728
Conv1D_123464712730528,0.0231364053677966
Conv1D_123464727739232,0.019029846165580053
LoRALinear_123464720605664,0.01868662770118172
Conv1D_123464716273232,0.01795779514761951
Conv1D_123464712731728,0.016672567326987433
Conv1D_123464712730912,0.016056149433471403
Conv1D_123464712726256,0.01574676405396699
Conv1D_123464716545888,0.015643634976244863
Conv1D_123464712729904,0.015419877622330925
Conv1D_123464712726304,0.0154124570215261
Conv1D_123464712726736,0.015399333268356465
Conv1D_123464712728464,0.015370252469831674
Conv1D_123464712729184,0.015358994846123984
Conv1D_123464712725344,0.015105949165687223
Embedding_123464712727648,0.013704775832593441
Conv1D_123464716130096,0.013355649635617663
Conv1D_123464712728800,0.01311488662459701
Conv1D_123464712731152,0.013030032808236551
Conv1D_123464712729520,0.01297658307610847
Conv1D_123464712730240,0.012730836165062116
Conv1D_123464720232192,0.012717922503619281
Conv1D_123464712727408,0.012464044282650456
Conv1D_123464716135424,0.012412763567061636
Conv1D_123464712725200,0.01217864305886663
Conv1D_123464712728176,0.012151994153078318
LayerNorm_123464716425920,0.011756895769274444
LayerNorm_123464712726448,0.0008921983555965512
LayerNorm_123464712720928,0.0008808375346984278
LayerNorm_123464718390368,0.0006691347647298021
LayerNorm_123464717853632,0.0006099955399157703
LayerNorm_123464712727984,0.0005913208664632075
LayerNorm_123464716136048,0.000579766785018762
LayerNorm_123464712718960,0.0005659521462185065
LayerNorm_123464712729328,0.0005587991444662397
LayerNorm_123464712725776,0.0005432014757961855
LayerNorm_123464712731008,0.0005338593875918647
LayerNorm_123464712724816,0.0005181622584729908
LayerNorm_123464712728608,0.0005109723811593832
LayerNorm_123464712730048,0.0005001325952933222
LayerNorm_123464712732640,0.0004936527974760273
LayerNorm_123464716136528,0.0004134136235429123
LayerNorm_123464712729664,0.0004126720183229263
LayerNorm_123464712728944,0.0004028010765831326
LayerNorm_123464712725104,0.0003935700895108967
LayerNorm_123464712730816,0.0003923305274484804
LayerNorm_123464720725680,0.0003919083129596866
LayerNorm_123464712730384,0.00038682442479853713
LayerNorm_123464721422224,0.00038374238719696575
LayerNorm_123464712728224,0.0003776272518164012
LayerNorm_123464712730672,0.0003527110061176851
